career_title,source,selection,esco_id,isco_group,isco_group_name,essential_skills,optional_skills,has_skill_data,alt_labels,description
online marketer,esco,adjacent_tech,key_15817,2431,Advertising and marketing professionals,26,17,yes,graduate online marketer; online marketing specialist; online marketer; e-commerce marketing specialist; social media marketing coordinator; digital marketer; internet marketer; internet marketing specialist,"Online marketers use e-mail, internet and social media in order to market goods and brands."
ICT application configurator,esco,core_ict,key_16005,2514,Applications programmers,17,61,yes,app configurator; ICT application configurator; software application configurator; application software configurator; application configurators,"ICT application configurators identify, record, and maintain user-specific application configurations based upon user requirements and business rules. They configure generic software systems in order to create a specific version applied to an organisation's context. These configurations range from adjusting basic parameters through the creation of business rules and roles in the ICT system to developing specific modules (including the configuration of Commercial off-the-shelf systems (COTS)). They also document configurations, perform configuration updates, and ensure the configurations are correctly implemented in the application."
ICT application developer,esco,core_ict,key_17442,2514,Applications programmers,19,74,yes,application software developers; ICT application developer; application designer; application developer; app software developer; software programmer; application software engineer,"ICT application developers implement the ICT (software) applications based on the designs provided using application domain specific languages, tools, platforms and experience."
embedded systems software developer,esco,core_ict,key_16235,2514,Applications programmers,16,58,yes,embedded system software programmer; embedded software developerl embedded systems engineer; embedded software programmer; embedded system software developer; embedded systems software developer; embedded systems designer; embedded systems software developers,"Embedded systems software developers program, implement, document and maintain software to be run on an embedded system."
industrial mobile devices software developer,esco,core_ict,key_17415,2514,Applications programmers,20,68,yes,industrial mobile devices software developer; industrial mobile devices software coder; handheld software developer; handheld programmer; industrial mobile devices software programmer,"Industrial mobile devices software developers implement applications software for specific, professional industrial mobile (handheld) devices, based on the industry needs, using general or specific development tools for device operating systems."
mobile application developer,esco,core_ict,key_15738,2514,Applications programmers,18,67,yes,app coder; app programmer; cell phone app developer; mobile app developer; app developer; mobile app specialist,"Mobile application developers implement applications software for mobile devices, based on the designs provided, using general or specific development tools for device operating systems."
numerical tool and process control programmer,esco,core_ict,key_16506,2514,Applications programmers,51,16,yes,numerical tool maker; numerical tool and process control programer; numerical tool setting operator; numerical process control tool setting operator; numerical tool machine set up operator; numerical process control  set up operator; numerical tool setter; numerical tool l programme setter,"Numerical tool and process control programmers develop computer programs to control automatic machines and equipment involved in manufacturing processes. They analyse blueprints and job orders, conduct computer simulations and trial runs."
audio-visual technician,esco,core_ict,key_16604,3521,Broadcasting and audiovisual technicians,12,19,yes,audiovisual assistant; audio & video operator; audio and video operator; audio technician; audio-video operator; video technician; audio-visual assistant; audio-video technician,"Audio-visual technicians set up, operate and maintain equipment to record and edit images and sound for radio and television broadcasts, at live events and for telecommunication signals."
boom operator,esco,core_ict,key_16101,3521,Broadcasting and audiovisual technicians,16,12,yes,shotgun operator; boom holder; film boom operator; boom operator; production sound mixer assistant; sound equipment technician; shotgun microphone operator; TV boom operator,"Boom operators set up and operate the boom microphone, either by hand, on an arm or on a moving platform. They make sure that every microphone is correctly stationed on set and in the best position to capture the dialogues. Boom operators are also responsible for the microphones on the actors clothing."
broadcast technician,esco,core_ict,key_18149,3521,Broadcasting and audiovisual technicians,19,22,yes,broadcast transmitter operator; broadcast engineering technician; broadcast technician; broadcasting technician; radio and TV technician; broadcasting engineer; broadcast technicians; broadcast transmitting equipment operator,"Broadcast technicians install, start up, maintain, monitor and repair equipment used for the transmission and reception of television and radio broadcast signals. They ensure that all materials are available in a suitable format of transmittable quality according to the transmission deadline. Broadcast technicians also maintain and repair this equipment."
camera operator,esco,core_ict,key_16525,3521,Broadcasting and audiovisual technicians,23,21,yes,cameraman; camerawoman; camera crane operator; towercam operator; railcam operator; remote head operator; videographer; steadicam operator,"Camera operators setup and operate digital film cameras to shoot domestic motion pictures or television programs. They work together with the video and motion picture director, the director of photography, or the private client. Camera operators give advice on how to shoot scenes to actors, the video and motion picture director and other camera operators."
performance rental technician,esco,core_ict,key_16029,3521,Broadcasting and audiovisual technicians,27,19,yes,performance rental monitor; load cell hire technician; rental equipment performance technician; rental equipment performance engineer; performance rental technician; sound equipment hire technician; lighting hire equipment technician; venue performance monitor,"Performance rental technicians prepare, maintain, issue, transport, set‐up, program, operate, take in, check, clean and store audiovisual, performance and event equipment. Their work is based on plans, instructions and order forms."
performance video operator,esco,core_ict,key_15238,3521,Broadcasting and audiovisual technicians,32,27,yes,visual and graphic operator; projection operator; video operator; video projection operator; visuals operator; video and graphics technician; video and graphics operator; video projection technician,"Performance video operators control the (projected) images of a performance based on the artistic or creative concept, in interaction with the performers. Their work is influenced by and influences the results of other operators. Therefore, the operators work closely together with the designers, operators and performers. Performance video operators prepare media fragments, supervise the setup, steer the technical crew, program the equipment and operate the video system. Their work is based on plans, instructions and other documentation."
projectionist,esco,core_ict,key_17800,3521,Broadcasting and audiovisual technicians,8,8,yes,projectionist; projector booth operator; digital cinema projectionist; cinema projectionist; projection operator; booth operator; movie projector operator; film projectionist,Projectionists operate and maintain projection equipment in cinema theatres. They inspect the movie films before loading them into the projector. Projectionist make sure that everything runs smoothly during the projection of the movie. They also are responsible for the proper storage of movie films.
recording studio technician,esco,core_ict,key_17210,3521,Broadcasting and audiovisual technicians,21,21,yes,studio sound engineer; recording technician; sounds technician; studio technician; audio restorer; recording studio audio engineer; recording studio sound technician; re-recording mixer,Recording studio technicians operate and maintain microphones and headsets in recording booths in recording studios. They operate mixing panels. Recording studio technicians manage all sound production requirements. They advise singers on the use of their voice. Recording studio technicians edit recordings into a finished product.
sound designer,esco,core_ict,key_16652,3521,Broadcasting and audiovisual technicians,42,31,yes,sound designer and music composer; music composer & sound designer; audio engineer and sound artist; audio designer; audio engineer and sound designer; music and sound artist; sound designer & audio engineer; sound artist and audio engineer,"Sound designers develop a sound design concept for a performance and supervise the execution of it. Their work is based on research and artistic vision. Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision. Therefore, the designers work closely with artistic directors, operators and the artistic team. Sound designers prepare audio fragments to be used in a performance, which can involve recording, composing, manipulating and editing. Sound designers develop plans, cue lists and other documentation to support the operators and production crew. Sound designers sometimes also work as autonomous artists, creating sound art outside a performance context."
sound editor,esco,core_ict,key_15831,3521,Broadcasting and audiovisual technicians,17,16,yes,dialogue editor; music supervisor; dubbing manager; sound designer; audio editor; ADR editor; foley editor; music editor,"Sound editors create the soundtrack and sound effects for motion pictures, television series or other multimedia productions. They are responsible for all the music and sound featured in the movie, series or videogames. Sound editors use equipment to edit and mix image and sound recordings and make sure that the music, sound and dialogue is synchronised with and fits in the scene. They work closely together with the video and motion picture editor."
sound mastering engineer,esco,core_ict,key_15597,3521,Broadcasting and audiovisual technicians,11,6,yes,mastering engineer; mastering technician; mixing and mastering engineer; audio mastering engineer; audio mastering operator; mixing & mastering sound engineer; digital mastering technician,"Sound mastering engineers convert finished recordings to the desired format such as CD, vinyl and digital. They ensure the quality of the sound on all formats."
sound operator,esco,core_ict,key_15330,3521,Broadcasting and audiovisual technicians,42,28,yes,sound board technician; sound board operator; audio operator; sound operator; audio board operator; sound audio technician; sound mixer,"Sound operators control the sound of a performance based on the artistic or creative concept, in interaction with the performers. Their work is influenced by and influences the results of other operators. Therefore, the operators work closely together with the designers and performers. They prepare audio fragments, supervise the setup, steer the technical crew, program the equipment and operate the sound system. Their work is based on plans, instructions and other documentation."
video technician,esco,core_ict,key_17161,3521,Broadcasting and audiovisual technicians,22,18,yes,audio-video specialist; image technician; video technician; audio visual specialist; audio visual technician; AV technician; video/graphics technician; audio video specialist,"Video technicians set up, prepare, check and maintain equipment in order to provide optimal projected image quality for a live performance. They cooperate with road crew to unload, set up and operate video equipment and instruments."
ICT network technician,esco,core_ict,key_16395,3513,Computer network and systems technicians,20,16,yes,ICT network technician; IT network technician; network maintenance professional; assistant network administrator; network technician; system engineer; network engineer; network technicians,"ICT network technicians install, maintain and troubleshoot networks, data communications equipment and network installed devices such as printers and storage area networks. They also analyse and fix network-related problems reported by users."
aviation data communications manager,esco,core_ict,key_16249,3513,Computer network and systems technicians,13,2,yes,aviation data communications contractor; aviation data communications  specialist; aviation data communications manager; data communications manager in aviation; aviation data communications officer; aviation data communications consultant; aviation sector data manager,"Aviation data communications managers perform the planning, implementation and maintenance of data transmission networks. They support data processing systems linking participant user agencies to central computers."
ICT capacity planner,esco,core_ict,key_16000,2523,Computer network professionals,17,31,yes,IT capacity planner; ICT capacity planners; ICT performance manager; IT capability planner; ICT capability manager; ICT capacity planner,"ICT capacity planners ensure that the capacity of ICT services and ICT infrastructure is able to deliver agreed service level targets in a cost effective and timely manner. They also consider all resources required to deliver the appropriate ICT service, and plan for short, medium, and long term business requirements."
ICT network architect,esco,core_ict,key_17833,2523,Computer network professionals,26,27,yes,network architects; network designer; ICT network architect,"ICT network architects design the topology and connectivity of ICT network such as hardware, infrastructure, communication and hardware components."
ICT network engineer,esco,core_ict,key_17653,2523,Computer network professionals,21,76,yes,networks designer; network engineers; network configurator; ICT network engineer; networks engineer; network developer; networks developer,"ICT network engineers implement, maintain and support computer networks. They also perform network modelling, analysis, and planning. They may also design network and computer security measures. They may research and recommend network and data communications hardware and software."
data entry clerk,esco,adjacent_tech,key_16384,4132,Data entry clerks,10,24,yes,data-entry clerk; data steward; data entry officer; payment entry clerk; data-entry officer; statistical clerk; data entry operator; data entry inspector,"Data entry clerks update, maintain and retrieve information held on computer systems. They prepare source data for computer entry by compiling and sorting information, process customer and account source documents by reviewing data for deficiencies and verify entered customer and account data."
ICT resilience manager,esco,core_ict,key_17202,2529,Database and network professionals not elsewhere classified,19,18,yes,vulnerability manager; manager for vulnerability; manager for IT resilience; IT resilience manager; ICT resilience manager; disaster recovery manager; manager for disaster recovery,"ICT resilience managers research, plan and develop models, policies, methods, techniques and tools that enhance an organisation's cyber security, resilience and disaster recovery."
