career_title,skill_id,skill_name,relation_type
telecommunications engineer,systems-development-life-cycle,systems development life-cycle,essential
telecommunications engineer,ict-network-routing,ICT network routing,essential
telecommunications engineer,ict-network-security-risks,ICT network security risks,essential
telecommunications engineer,procurement-of-ict-network-equipment,procurement of ICT network equipment,essential
telecommunications engineer,telecommunication-industry,telecommunication industry,essential
telecommunications engineer,ict-communications-protocols,ICT communications protocols,essential
telecommunications engineer,quality-assurance-methodologies,quality assurance methodologies,essential
telecommunications engineer,ict-system-user-requirements,ICT system user requirements,essential
telecommunications engineer,signal-processing,signal processing,essential
telecommunications engineer,design-computer-network,design computer network,essential
telecommunications engineer,design-process,design process,essential
telecommunications engineer,provide-ict-system-training,provide ICT system training,essential
telecommunications engineer,interact-with-users-to-gather-requirements,interact with users to gather requirements,essential
telecommunications engineer,implement-a-virtual-private-network,implement a virtual private network,essential
telecommunications engineer,adjust-ict-system-capacity,adjust ICT system capacity,essential
telecommunications engineer,define-technical-requirements,define technical requirements,essential
telecommunications engineer,analyse-network-bandwidth-requirements,analyse network bandwidth requirements,essential
telecommunications engineer,support-ict-system-users,support ICT system users,essential
telecommunications engineer,use-session-border-controller,use session border controller,essential
telecommunications engineer,haskell,Haskell,optional
telecommunications engineer,erlang,Erlang,optional
telecommunications engineer,sas-language,SAS language,optional
telecommunications engineer,agile-project-management,Agile project management,optional
telecommunications engineer,ruby-computer-programming,Ruby (computer programming),optional
telecommunications engineer,common-lisp,Common Lisp,optional
telecommunications engineer,lisp,Lisp,optional
telecommunications engineer,visual-studio-net,Visual Studio .NET,optional
telecommunications engineer,java-computer-programming,Java (computer programming),optional
telecommunications engineer,computer-programming,computer programming,optional
telecommunications engineer,prolog-computer-programming,Prolog (computer programming),optional
telecommunications engineer,openedge-advanced-business-language,OpenEdge Advanced Business Language,optional
telecommunications engineer,javascript,JavaScript,optional
telecommunications engineer,perl,Perl,optional
telecommunications engineer,smalltalk-computer-programming,Smalltalk (computer programming),optional
telecommunications engineer,php,PHP,optional
telecommunications engineer,assembly-computer-programming,Assembly (computer programming),optional
telecommunications engineer,c-2,C#,optional
telecommunications engineer,telecommunication-trunking,telecommunication trunking,optional
telecommunications engineer,r,R,optional
telecommunications engineer,groovy,Groovy,optional
telecommunications engineer,asp-net,ASP.NET,optional
telecommunications engineer,apl,APL,optional
telecommunications engineer,cisco,Cisco,optional
telecommunications engineer,microsoft-visual-c,Microsoft Visual C++,optional
telecommunications engineer,typescript,TypeScript,optional
telecommunications engineer,coffeescript,CoffeeScript,optional
telecommunications engineer,objective-c,Objective-C,optional
telecommunications engineer,ml-computer-programming,ML (computer programming),optional
telecommunications engineer,ajax,AJAX,optional
telecommunications engineer,c,C++,optional
telecommunications engineer,sap-r3,SAP R3,optional
telecommunications engineer,swift-computer-programming,Swift (computer programming),optional
telecommunications engineer,ict-project-management-methodologies,ICT project management methodologies,optional
telecommunications engineer,matlab,MATLAB,optional
telecommunications engineer,python-computer-programming,Python (computer programming),optional
telecommunications engineer,scratch-computer-programming,Scratch (computer programming),optional
telecommunications engineer,process-based-management,Process-based management,optional
telecommunications engineer,lean-project-management,Lean project management,optional
telecommunications engineer,vbscript,VBScript,optional
telecommunications engineer,cobol,COBOL,optional
telecommunications engineer,pascal-computer-programming,Pascal (computer programming),optional
telecommunications engineer,abap,ABAP,optional
telecommunications engineer,ict-networking-hardware,ICT networking hardware,optional
telecommunications engineer,scala,Scala,optional
telecommunications engineer,provide-technical-documentation,provide technical documentation,optional
telecommunications engineer,assess-ict-knowledge,assess ICT knowledge,optional
telecommunications engineer,implement-ict-safety-policies,implement ICT safety policies,optional
telecommunications engineer,provide-user-documentation,provide user documentation,optional
telecommunications engineer,create-software-design,create software design,optional
telecommunications engineer,use-different-communication-channels,use different communication channels,optional
telecommunications engineer,solve-location-and-navigation-problems-by-using-gps-tools,solve location and navigation problems by using GPS tools,optional
