career_title,skill_id,weight,relation_type,career_source
.NET Developer,c-2,92,essential,market
.NET Developer,asp-net,85,essential,market
.NET Developer,use-object-oriented-programming,80,essential,market
.NET Developer,debug-software,78,essential,market
.NET Developer,sql,70,optional,market
.NET Developer,sql-server,68,optional,market
.NET Developer,visual-studio-net,65,optional,market
.NET Developer,linq,64,optional,market
.NET Developer,web-programming,62,optional,market
.NET Developer,agile-development,60,optional,market
.NET Developer,software-design-methodologies,58,optional,market
.NET Developer,develop-automated-software-tests,55,optional,market
3D animator,operate-3d-computer-graphics-software,95,essential,esco
3D animator,principles-of-animation,92,essential,esco
3D animator,animate-3d-organic-forms,88,essential,esco
3D animator,rig-3d-characters,85,essential,esco
3D animator,apply-3d-imaging-techniques,80,essential,esco
3D animator,create-3d-characters,78,essential,esco
3D animator,create-3d-environments,74,essential,esco
3D animator,particle-animation,72,essential,esco
3D animator,3d-texturing,70,essential,esco
3D animator,3d-lighting,68,essential,esco
3D animator,render-3d-images,66,essential,esco
3D animator,create-animated-narratives,55,optional,esco
3D animator,develop-creative-ideas,52,optional,esco
3D animator,create-storyboards,48,optional,esco
3D animator,augmented-reality,45,essential,esco
3D animator,use-scripting-programming,40,optional,esco
3D animator,draw-design-sketches,38,optional,esco
3D animator,maintain-an-artistic-portfolio,35,optional,esco
3D animator,manage-schedule-of-tasks,30,optional,esco
3D animator,select-illustration-styles,28,optional,esco
3D modeller,operate-3d-computer-graphics-software,95,essential,esco
3D modeller,use-polygonal-modelling,92,essential,esco
3D modeller,3d-texturing,90,essential,esco
3D modeller,create-3d-environments,88,essential,esco
3D modeller,create-3d-texture-map,86,essential,esco
3D modeller,create-3d-characters,85,essential,esco
3D modeller,apply-3d-imaging-techniques,82,essential,esco
3D modeller,3d-lighting,78,essential,esco
3D modeller,render-3d-images,75,essential,esco
3D modeller,principles-of-animation,62,optional,esco
3D modeller,develop-creative-ideas,60,essential,esco
3D modeller,animate-3d-organic-forms,58,optional,esco
3D modeller,draw-design-sketches,44,optional,esco
3D modeller,maintain-an-artistic-portfolio,42,optional,esco
3D modeller,augmented-reality,40,essential,esco
3D modeller,migrate-existing-data,35,essential,esco
3D modeller,3d-printing-process,34,optional,esco
3D modeller,create-2d-painting,32,optional,esco
3D modeller,build-business-relationships,30,essential,esco
3D modeller,select-illustration-styles,30,optional,esco
3D modeller,apply-technical-communication-skills,26,optional,esco
3D modeller,software-interaction-design,24,optional,esco
3D modeller,python-computer-programming,22,optional,esco
3D modeller,computer-programming,20,optional,esco
3D modeller,emergent-technologies,20,optional,esco
3D modeller,perform-ict-troubleshooting,20,optional,esco
3D modeller,agile-project-management,18,optional,esco
3D modeller,apply-social-media-marketing,16,optional,esco
3D modeller,ict-project-management-methodologies,15,optional,esco
3D modeller,c,14,optional,esco
3D modeller,geographic-information-systems,10,optional,esco
3D modeller,lean-project-management,10,optional,esco
3D modeller,matlab,10,optional,esco
3D modeller,microsoft-visual-c,10,optional,esco
3D modeller,process-based-management,10,optional,esco
3D modeller,c-2,8,optional,esco
3D modeller,javascript,8,optional,esco
3D modeller,perform-data-mining,8,optional,esco
3D modeller,java-computer-programming,6,optional,esco
3D modeller,typescript,6,optional,esco
3D modeller,visual-studio-net,6,optional,esco
3D modeller,php,5,optional,esco
3D modeller,ajax,4,optional,esco
3D modeller,asp-net,4,optional,esco
3D modeller,assembly-computer-programming,4,optional,esco
3D modeller,objective-c,4,optional,esco
3D modeller,perl,4,optional,esco
3D modeller,r,4,optional,esco
3D modeller,ruby-computer-programming,4,optional,esco
3D modeller,swift-computer-programming,4,optional,esco
3D modeller,coffeescript,3,optional,esco
3D modeller,common-lisp,3,optional,esco
3D modeller,erlang,3,optional,esco
3D modeller,groovy,3,optional,esco
3D modeller,haskell,3,optional,esco
3D modeller,lisp,3,optional,esco
3D modeller,pascal-computer-programming,3,optional,esco
3D modeller,prolog-computer-programming,3,optional,esco
3D modeller,sap-r3,3,optional,esco
3D modeller,sas-language,3,optional,esco
3D modeller,scala,3,optional,esco
3D modeller,scratch-computer-programming,3,optional,esco
3D modeller,vbscript,3,optional,esco
3D modeller,abap,2,optional,esco
3D modeller,apl,2,optional,esco
3D modeller,cobol,2,optional,esco
3D modeller,ml-computer-programming,2,optional,esco
3D modeller,openedge-advanced-business-language,2,optional,esco
3D modeller,smalltalk-computer-programming,2,optional,esco
3D printing technician,3d-printing-process,96,essential,esco
3D printing technician,3d-modelling,88,essential,esco
3D printing technician,use-cad-software,85,essential,esco
3D printing technician,cad-software,82,essential,esco
3D printing technician,printing-techniques,74,essential,esco
3D printing technician,use-technical-drawing-software,72,essential,esco
3D printing technician,operate-3d-computer-graphics-software,70,essential,esco
3D printing technician,adjust-engineering-designs,66,essential,esco
3D printing technician,cadd-software,62,optional,esco
3D printing technician,draft-design-specifications,60,essential,esco
3D printing technician,technical-drawings,58,optional,esco
3D printing technician,create-solutions-to-problems,56,essential,esco
3D printing technician,advise-client-on-technical-possibilities,54,essential,esco
3D printing technician,design-prototypes,52,optional,esco
3D printing technician,ict-software-specifications,50,essential,esco
3D printing technician,identify-customer-s-needs,48,essential,esco
3D printing technician,design-principles,45,optional,esco
3D printing technician,create-technical-plans,42,optional,esco
3D printing technician,mathematics,30,optional,esco
AI Engineer,machine-learning,90,essential,market
AI Engineer,python-computer-programming,88,essential,market
AI Engineer,deep-learning,85,essential,market
AI Engineer,algorithms,80,essential,market
AI Engineer,statistics,78,essential,market
AI Engineer,build-predictive-models,72,optional,market
AI Engineer,sql,68,optional,market
AI Engineer,natural-language-processing,65,optional,market
AI Engineer,distributed-computing,62,optional,market
AI Engineer,computer-vision,60,optional,market
AI Platform Engineer,cloud-technologies,90,essential,market
AI Platform Engineer,design-cloud-architecture,85,essential,market
AI Platform Engineer,devops,82,essential,market
AI Platform Engineer,cloud-security-and-compliance,80,essential,market
AI Platform Engineer,distributed-computing,78,essential,market
AI Platform Engineer,manage-cloud-data-and-storage,74,optional,market
AI Platform Engineer,develop-with-cloud-services,72,optional,market
AI Platform Engineer,manage-ict-virtualisation-environments,72,optional,market
AI Platform Engineer,cloud-monitoring-and-reporting,69,optional,market
AI Platform Engineer,automate-cloud-tasks,68,optional,market
AI Platform Engineer,manage-software-releases,66,optional,market
AI Platform Engineer,jenkins-tools-for-software-configuration-management,63,optional,market
Analytics Engineer,sql,90,essential,market
Analytics Engineer,create-data-models,88,essential,market
Analytics Engineer,data-warehouse,85,essential,market
Analytics Engineer,data-extraction-transformation-and-loading-tools,82,essential,market
Analytics Engineer,implement-data-quality-processes,78,essential,market
Analytics Engineer,python-computer-programming,70,optional,market
Analytics Engineer,business-intelligence,68,optional,market
Analytics Engineer,perform-data-cleansing,65,optional,market
Analytics Engineer,manage-ict-data-architecture,63,optional,market
Analytics Engineer,online-analytical-processing,60,optional,market
Analytics Engineer,deliver-visual-presentation-of-data,55,optional,market
Android Developer,android-mobile-operating-systems,92,essential,market
Android Developer,java-computer-programming,85,essential,market
Android Developer,mobile-device-software-frameworks,80,essential,market
Android Developer,use-object-oriented-programming,74,essential,market
Android Developer,debug-software,72,essential,market
Android Developer,design-user-interface,67,optional,market
Android Developer,application-usability,60,optional,market
Android Developer,agile-development,58,optional,market
Android Developer,sql,55,optional,market
Android Developer,integrated-development-environment-software,52,optional,market
Angular Developer,angular,90,essential,market
Angular Developer,typescript,85,essential,market
Angular Developer,javascript,80,essential,market
Angular Developer,web-programming,79,essential,market
Angular Developer,css,76,essential,market
Angular Developer,use-markup-languages,74,essential,market
Angular Developer,implement-front-end-website-design,72,optional,market
Angular Developer,design-user-interface,69,optional,market
Angular Developer,debug-software,67,optional,market
Angular Developer,maintain-responsive-design,66,optional,market
Angular Developer,agile-development,64,optional,market
Angular Developer,web-application-security-threats,62,optional,market
animation director,perform-project-management,90,essential,esco
animation director,manage-staff,88,essential,esco
animation director,finish-project-within-budget,86,essential,esco
animation director,manage-budgets,84,essential,esco
animation director,follow-a-brief,80,essential,esco
animation director,motion-graphics,78,essential,esco
animation director,follow-work-schedule,72,essential,esco
animation director,graphic-design,70,essential,esco
animation director,develop-animations,68,optional,esco
animation director,hire-new-personnel,66,essential,esco
animation director,multimedia-systems,62,essential,esco
animation director,manage-contracts,60,optional,esco
animation director,analyse-the-need-for-technical-resources,58,essential,esco
animation director,design-graphics,56,optional,esco
animation director,create-moving-images,54,optional,esco
animation director,edit-digital-moving-images,52,optional,esco
animation director,ict-software-specifications,50,essential,esco
animation director,operate-3d-computer-graphics-software,50,optional,esco
animation director,digital-compositing,48,optional,esco
animation director,apply-3d-imaging-techniques,46,optional,esco
animation director,create-3d-characters,45,optional,esco
animation director,computer-equipment,44,essential,esco
animation director,create-3d-environments,44,optional,esco
animation director,motion-capture,42,optional,esco
animation director,render-3d-images,41,optional,esco
animation director,3d-lighting,40,optional,esco
animation director,adobe-photoshop,38,optional,esco
animation director,graphics-editor-software,36,optional,esco
animation director,adobe-illustrator,34,optional,esco
animation director,manage-portfolio,32,optional,esco
animation director,create-2d-painting,26,optional,esco
