skill_id,skill_name,skill_category,skill_type,reuse_level,esco_skill_id,source,description
3d-body-scanning-technologies,3D body scanning technologies,technical,knowledge,sector-specific,key_9806,esco,The principles and usage of technologies for 3D body scanning used to capture the size and shape of the human body.
3d-lighting,3D lighting,technical,knowledge,sector-specific,key_7331,esco,The arrangement or digital effect which simulates lighting in a 3D environment.
3d-modelling,3D modelling,technical,knowledge,cross-sector,key_9575,esco,The process of developing a mathematical representation of any three-dimensional surface of an object via specialised software. The product is called a 3D model. It can be displayed as a two-dimensional image through a process called 3D rendering or used in a computer simulation of physical phenomena. The model can also be physically created using 3D printing devices.
3d-printing-process,3D printing process,technical,knowledge,sector-specific,key_3627,esco,The process of reproducing 3D objects by using 3D printing technologies.
3d-texturing,3D texturing,technical,knowledge,sector-specific,key_4687,esco,The process of applying a type of surface to a 3D image.
abap,ABAP,technical,knowledge,sector-specific,key_13967,esco,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ABAP."
abbyy-finereader,ABBYY FineReader,technical,knowledge,sector-specific,key_9714,esco,"The computer program ABBYY FineReader is software that electronically converts printed and typed images into machine-encoded text so that documents can be electronically stored, edited and digitally displayed."
absorb-learning-management-systems,Absorb (learning management systems),technical,knowledge,sector-specific,key_1333,esco,"The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students."
accounting-techniques,accounting techniques,domain,knowledge,cross-sector,key_8720,esco,"The techniques of recording and summarising business and financial transactions and analysing, verifying, and reporting the results."
acquire-system-component,acquire system component,technical,skill/competence,sector-specific,key_9194,esco,"Obtain hardware, software or network components which match other system components in order to expand it and perform necessary tasks."
adapt-developed-game-to-the-market,adapt developed game to the market,domain,skill/competence,sector-specific,key_13933,esco,Follow gaming trends in order to adjust the development of new games to the current needs of the market.
adapt-existing-designs-to-changed-circumstances,adapt existing designs to changed circumstances,technical,skill/competence,sector-specific,key_11674,esco,Adapt an existing design to changed circumstances and ensure that the artistic quality of the original design is reflected in the final result.
adapt-to-change-in-marketing,adapt to change in marketing,domain,skill/competence,occupation-specific,key_3786,esco,"Stay informed and adapt to developments, innovations and trends concerning marketing such as marketing tools and marketing technologies."
adapt-to-changes-in-technological-development-plans,adapt to changes in technological development plans,technical,skill/competence,sector-specific,key_14549,esco,Modify the current design and development activities of technological projects to meet changes in requests or strategies. Ensure that the organisation's or client's needs are met and that any sudden requests which were not previously planned are implemented.
