Source	O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
Essential Skills	15-1252.00	2.A.1.a	Reading Comprehension	IM	3.50	8	0.1890	3.1296	3.8704	N	n/a	08/2025	Analyst
Essential Skills	15-1252.00	2.A.1.b	Active Listening	IM	3.38	8	0.1830	3.0164	3.7336	N	n/a	08/2025	Analyst
Essential Skills	15-1252.00	2.A.1.c	Writing	IM	3.25	8	0.1637	2.9292	3.5708	N	n/a	08/2025	Analyst
Essential Skills	15-1252.00	2.A.1.d	Speaking	IM	3.12	8	0.1250	2.8800	3.3700	N	n/a	08/2025	Analyst
Essential Skills	15-1252.00	2.A.1.e	Mathematics	IM	2.75	8	0.2500	2.2600	3.2400	N	n/a	08/2025	Analyst
Essential Skills	15-1252.00	2.A.1.f	Science	IM	2.12	8	0.3981	1.3447	2.9053	N	n/a	08/2025	Analyst
Essential Skills	15-1252.00	2.A.2.a	Critical Thinking	IM	3.88	8	0.2266	3.4309	4.3191	N	n/a	08/2025	Analyst
Essential Skills	15-1252.00	2.A.2.b	Active Learning	IM	3.50	8	0.1890	3.1296	3.8704	N	n/a	08/2025	Analyst
Essential Skills	15-1252.00	2.A.2.c	Learning Strategies	IM	2.62	8	0.1830	2.2664	2.9836	N	n/a	08/2025	Analyst
Essential Skills	15-1252.00	2.A.2.d	Monitoring	IM	3.00	8	0.0000	3.0000	3.0000	N	n/a	08/2025	Analyst
Essential Skills	15-1254.00	2.A.1.a	Reading Comprehension	IM	3.62	8	0.1830	3.2664	3.9836	N	n/a	07/2017	Analyst
Essential Skills	15-1254.00	2.A.1.b	Active Listening	IM	3.50	8	0.1890	3.1296	3.8704	N	n/a	07/2017	Analyst
Essential Skills	15-1254.00	2.A.1.c	Writing	IM	3.12	8	0.1250	2.8800	3.3700	N	n/a	07/2017	Analyst
Essential Skills	15-1254.00	2.A.1.d	Speaking	IM	3.25	8	0.1637	2.9292	3.5708	N	n/a	07/2017	Analyst
Essential Skills	15-1254.00	2.A.1.e	Mathematics	IM	2.75	8	0.2500	2.2600	3.2400	N	n/a	07/2017	Analyst
Essential Skills	15-1254.00	2.A.1.f	Science	IM	2.00	8	0.1890	1.6296	2.3704	N	n/a	07/2017	Analyst
Essential Skills	15-1254.00	2.A.2.a	Critical Thinking	IM	3.75	8	0.1637	3.4292	4.0708	N	n/a	07/2017	Analyst
Essential Skills	15-1254.00	2.A.2.b	Active Learning	IM	3.50	8	0.1890	3.1296	3.8704	N	n/a	07/2017	Analyst
Essential Skills	15-1254.00	2.A.2.c	Learning Strategies	IM	2.88	8	0.1250	2.6300	3.1200	N	n/a	07/2017	Analyst
Essential Skills	15-1254.00	2.A.2.d	Monitoring	IM	3.00	8	0.0000	3.0000	3.0000	N	n/a	07/2017	Analyst
Transferable Skills	15-1252.00	2.B.1.a	Social Perceptiveness	IM	2.88	8	0.2266	2.4309	3.3191	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.1.b	Coordination	IM	3.00	8	0.1890	2.6296	3.3704	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.1.c	Persuasion	IM	2.75	8	0.1637	2.4292	3.0708	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.1.d	Negotiation	IM	2.62	8	0.1830	2.2664	2.9836	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.1.e	Instructing	IM	2.88	8	0.1250	2.6300	3.1200	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.1.f	Service Orientation	IM	2.88	8	0.1250	2.6300	3.1200	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.2.i	Complex Problem Solving	IM	3.38	8	0.1830	3.0164	3.7336	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.a	Operations Analysis	IM	3.25	8	0.4532	2.3618	4.1382	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.b	Technology Design	IM	3.38	8	0.3239	2.7402	4.0098	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.c	Equipment Selection	IM	2.12	8	0.4795	1.1852	3.0648	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.d	Installation	IM	1.88	8	0.3504	1.1883	2.5617	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.e	Programming	IM	4.00	8	0.3780	3.2592	4.7408	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.g	Operations Monitoring	IM	2.75	8	0.2500	2.2600	3.2400	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.h	Operation and Control	IM	2.00	8	0.3273	1.3584	2.6416	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.j	Equipment Maintenance	IM	1.25	8	0.2500	1.0000	1.7400	N	n/a	08/2025	Analyst
Transferable Skills	15-1252.00	2.B.3.k	Troubleshooting	IM	2.62	8	0.2631	2.1094	3.1406	N	n/a	08/2025	Analyst
