O*NET-SOC Code	Workplace Example	Element ID	Element Name	Hot Technology	In Demand
15-1252.00	3M Post-it App	2.E.4.d	Word processing software	N	N
15-1252.00	A programming language APL	2.E.7.b	Development environment software	N	N
15-1252.00	ABC Compiler	2.E.7.b	Development environment software	N	N
15-1252.00	ABC: the AspectBench Compiler for AspectJ	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Ada	2.E.7.b	Development environment software	N	N
15-1252.00	ADO.NET	2.E.6.f	Data base user interface and query software	N	N
15-1252.00	Adobe Acrobat	2.E.5.b	Document management software	Y	N
15-1252.00	Adobe ActionScript	2.E.7.b	Development environment software	N	N
15-1252.00	Adobe After Effects	2.E.4.c	Video creation and editing software	Y	N
15-1252.00	Adobe Creative Cloud software	2.E.4.b	Graphics or photo imaging software	Y	N
15-1252.00	Adobe Dreamweaver	2.E.4.g	Web page creation and editing software	N	N
15-1252.00	Adobe Flex	2.E.7.h	Web platform development software	N	N
15-1252.00	Adobe Illustrator	2.E.4.b	Graphics or photo imaging software	Y	N
15-1252.00	Adobe InDesign	2.E.4.k	Desktop publishing software	Y	N
15-1252.00	Adobe Photoshop	2.E.4.b	Graphics or photo imaging software	Y	N
15-1252.00	Advanced business application programming ABAP	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Airtable	2.E.6.f	Data base user interface and query software	N	N
15-1252.00	AJAX	2.E.7.h	Web platform development software	Y	N
15-1252.00	Algorithmic language ALGOL	2.E.7.b	Development environment software	N	N
15-1252.00	Allaire ColdFusion	2.E.7.h	Web platform development software	N	N
15-1252.00	Alteryx software	2.E.6.m	Business intelligence and data analysis software	Y	N
15-1252.00	Amazon DynamoDB	2.E.6.d	Data base management system software	Y	N
15-1252.00	Amazon Elastic Compute Cloud EC2	2.E.6.f	Data base user interface and query software	Y	N
15-1252.00	Amazon Kinesis	2.E.6.d	Data base management system software	N	N
15-1252.00	Amazon Redshift	2.E.6.f	Data base user interface and query software	Y	N
15-1252.00	Amazon Simple Storage Service S3	2.E.12.f	Storage networking software	N	N
15-1252.00	Amazon Web Services AWS CloudFormation	2.E.11.e	Cloud-based management software	Y	N
15-1252.00	Amazon Web Services AWS software	2.E.6.f	Data base user interface and query software	Y	Y
15-1252.00	American National Standards Institute ANSI C	2.E.7.b	Development environment software	N	N
15-1252.00	Ansible software	2.E.1.i	Expert system software	Y	N
15-1252.00	Apache Airflow	2.E.1.o	Procedure management software	Y	N
15-1252.00	Apache Ant	2.E.7.b	Development environment software	N	N
15-1252.00	Apache Avro	2.E.6.h	Information retrieval or search software	N	N
15-1252.00	Apache Cassandra	2.E.6.d	Data base management system software	Y	N
15-1252.00	Apache Flume	2.E.6.d	Data base management system software	N	N
15-1252.00	Apache Groovy	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Apache Hadoop	2.E.6.d	Data base management system software	Y	N
15-1252.00	Apache HBase	2.E.6.d	Data base management system software	N	N
15-1252.00	Apache Hive	2.E.6.f	Data base user interface and query software	Y	N
15-1252.00	Apache HTTP Server	2.E.6.k	Portal server software	N	N
15-1252.00	Apache Kafka	2.E.7.b	Development environment software	Y	Y
15-1252.00	Apache Maven	2.E.7.b	Development environment software	Y	N
15-1252.00	Apache Oozie	2.E.6.d	Data base management system software	N	N
15-1252.00	Apache Pig	2.E.6.d	Data base management system software	N	N
15-1252.00	Apache Solr	2.E.6.d	Data base management system software	N	N
15-1252.00	Apache Spark	2.E.7.e	Object or component oriented development software	Y	N
15-1252.00	Apache Struts	2.E.7.h	Web platform development software	N	N
15-1252.00	Apache Subversion SVN	2.E.5.c	File versioning software	Y	N
15-1252.00	Apache Tomcat	2.E.7.h	Web platform development software	Y	N
15-1252.00	Apple iOS	2.E.13.c	Operating system software	Y	N
15-1252.00	Apple macOS	2.E.13.c	Operating system software	Y	N
15-1252.00	Atlassian Bamboo	2.E.7.c	Enterprise application integration software	N	N
15-1252.00	Atlassian Bitbucket	2.E.10.a	Application server software	Y	N
15-1252.00	Atlassian Confluence	2.E.1.e	Project management software	Y	N
15-1252.00	Atlassian JIRA	2.E.5.a	Content workflow software	Y	Y
15-1252.00	Automated installation software	2.E.7.a	Configuration management software	N	N
15-1252.00	AWK	2.E.7.b	Development environment software	N	N
15-1252.00	B-Method	2.E.7.b	Development environment software	N	N
15-1252.00	Backbone.js	2.E.7.h	Web platform development software	N	N
15-1252.00	Backup and archival software	2.E.15.f	Backup or archival software	N	N
15-1252.00	Bash	2.E.13.c	Operating system software	Y	N
15-1252.00	Beginner's all-purpose symbolic instruction code BASIC	2.E.7.b	Development environment software	N	N
15-1252.00	Bigloo Scheme	2.E.7.b	Development environment software	N	N
15-1252.00	Blackbaud The Raiser's Edge	2.E.6.c	Customer relationship management CRM software	N	N
15-1252.00	Blackboard software	2.E.6.f	Data base user interface and query software	N	N
15-1252.00	Blink	2.E.16.d	Instant messaging software	N	N
15-1252.00	Bootstrap	2.E.7.h	Web platform development software	Y	N
15-1252.00	Border Gateway Protocol BGP	2.E.12.g	Switch or router software	Y	N
15-1252.00	C	2.E.7.b	Development environment software	Y	Y
15-1252.00	C#	2.E.7.e	Object or component oriented development software	Y	Y
15-1252.00	C++	2.E.7.e	Object or component oriented development software	Y	Y
15-1252.00	Call-processing language CPL	2.E.7.b	Development environment software	N	N
15-1252.00	Canu	2.E.7.b	Development environment software	N	N
15-1252.00	Cascading style sheets CSS	2.E.7.h	Web platform development software	Y	Y
15-1252.00	Chef	2.E.7.a	Configuration management software	Y	N
15-1252.00	Cisco IOS	2.E.13.c	Operating system software	N	N
15-1252.00	Cisco Webex	2.E.16.b	Video conferencing software	Y	N
15-1252.00	Citrix cloud computing software	2.E.12.a	Access software	N	N
15-1252.00	Collaborative Application Markup Language CAML	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Common business oriented language COBOL	2.E.7.b	Development environment software	N	N
15-1252.00	Common Lisp Object System CLOS	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Component object model COM software	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Component-based Scalable Logical Architecture CSLA	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Computer Associates integrated data management system CA-IDMS	2.E.6.d	Data base management system software	N	N
15-1252.00	Computer On-line Real-time Applications Language CORAL 66	2.E.7.b	Development environment software	N	N
15-1252.00	Customer information control system CICS	2.E.6.l	Transaction server software	N	N
15-1252.00	Data analysis software	2.E.9.d	Analytical or scientific software	N	N
15-1252.00	Data definition language DDL	2.E.6.d	Data base management system software	N	N
15-1252.00	Data manipulation language DML	2.E.6.d	Data base management system software	N	N
15-1252.00	DataVision	2.E.6.e	Data base reporting software	N	N
15-1252.00	Defect tracking software	2.E.7.f	Program testing software	N	N
15-1252.00	Delphi Technology	2.E.2.d	Financial analysis software	N	N
15-1252.00	Deployment software	2.E.7.a	Configuration management software	N	N
15-1252.00	Disk operating system DOS	2.E.13.c	Operating system software	N	N
15-1252.00	Distributed component object model DCOM software	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Distributed database management software	2.E.6.d	Data base management system software	N	N
15-1252.00	Django	2.E.7.h	Web platform development software	Y	N
15-1252.00	Docker	2.E.10.a	Application server software	Y	Y
15-1252.00	Document management system software	2.E.5.b	Document management software	N	N
15-1252.00	Document Object Model DOM Scripting	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Dropbox	2.E.16.i	Cloud-based data access and sharing software	N	N
15-1252.00	Drupal	2.E.7.h	Web platform development software	N	N
15-1252.00	Dynamic analysis software	2.E.7.f	Program testing software	N	N
15-1252.00	Dynamic hypertext markup language DHTML	2.E.7.h	Web platform development software	N	N
15-1252.00	Dynamic modeling software	2.E.9.d	Analytical or scientific software	N	N
15-1252.00	E++ pattern language	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Eclipse IDE	2.E.7.b	Development environment software	Y	N
15-1252.00	Eclipse Jersey	2.E.7.h	Web platform development software	N	N
15-1252.00	Eiffel	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Elasticsearch	2.E.6.d	Data base management system software	Y	N
15-1252.00	Embarcadero Delphi	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Embarcadero JBuilder	2.E.7.b	Development environment software	N	N
15-1252.00	Embedded systems development software	2.E.7.b	Development environment software	N	N
15-1252.00	Emerald Software Group Emerald Green Office	2.E.5.a	Content workflow software	N	N
15-1252.00	Encryption software	2.E.14.d	Transaction security and virus protection software	N	N
15-1252.00	Enterprise application integration EAI software	2.E.7.c	Enterprise application integration software	N	N
15-1252.00	Enterprise JavaBeans	2.E.7.h	Web platform development software	N	N
15-1252.00	ESRI ArcGIS software	2.E.16.e	Map creation software	Y	N
15-1252.00	Event-driven State-machines Programming	2.E.7.b	Development environment software	N	N
15-1252.00	Evernote	2.E.4.d	Word processing software	N	N
15-1252.00	Ext JS	2.E.7.h	Web platform development software	N	N
15-1252.00	Extensible hypertext markup language XHTML	2.E.7.h	Web platform development software	N	N
15-1252.00	Extensible markup language XML	2.E.7.c	Enterprise application integration software	Y	N
15-1252.00	Extensible stylesheet language transformations XSLT	2.E.7.h	Web platform development software	N	N
15-1252.00	FaceTime	2.E.16.b	Video conferencing software	N	N
15-1252.00	Fault testing software	2.E.7.f	Program testing software	N	N
15-1252.00	Figma	2.E.7.d	Graphical user interface development software	Y	N
15-1252.00	File server software	2.E.13.a	Filesystem software	N	N
15-1252.00	FileMaker Pro	2.E.6.f	Data base user interface and query software	N	N
15-1252.00	Firewall software	2.E.14.c	Network security and virtual private network VPN equipment software	N	N
15-1252.00	Flipgrid	2.E.4.c	Video creation and editing software	N	N
15-1252.00	Formula translation/translator FORTRAN	2.E.7.b	Development environment software	N	N
15-1252.00	Forth	2.E.7.b	Development environment software	N	N
15-1252.00	Functional testing software	2.E.7.f	Program testing software	N	N
15-1252.00	Gambit Scheme	2.E.7.b	Development environment software	N	N
15-1252.00	Git	2.E.5.c	File versioning software	Y	Y
15-1252.00	GitHub	2.E.10.a	Application server software	Y	Y
15-1252.00	GitLab	2.E.10.a	Application server software	Y	N
15-1252.00	GNU Image Manipulation Program GIMP	2.E.4.b	Graphics or photo imaging software	N	N
15-1252.00	Go	2.E.7.b	Development environment software	Y	Y
15-1252.00	Google Analytics	2.E.6.g	Data mining software	Y	N
15-1252.00	Google Android	2.E.13.c	Operating system software	Y	N
15-1252.00	Google Angular	2.E.7.h	Web platform development software	Y	Y
15-1252.00	Google Cloud software	2.E.11.e	Cloud-based management software	N	N
15-1252.00	Google Docs	2.E.4.d	Word processing software	Y	N
15-1252.00	Google Drive	2.E.16.i	Cloud-based data access and sharing software	N	N
15-1252.00	Google Gmail	2.E.16.a	Electronic mail software	N	N
15-1252.00	Google Looker Analytics	2.E.6.m	Business intelligence and data analysis software	Y	N
15-1252.00	Google Meet	2.E.16.b	Video conferencing software	N	N
15-1252.00	Google Sheets	2.E.4.i	Spreadsheet software	Y	N
15-1252.00	Google Sites	2.E.4.g	Web page creation and editing software	N	N
15-1252.00	Google Slides	2.E.4.f	Presentation software	N	N
15-1252.00	Gradle	2.E.7.e	Object or component oriented development software	N	N
15-1252.00	Grafana Labs Grafana Cloud	2.E.7.d	Graphical user interface development software	Y	N
15-1252.00	Graphical user interface GUI builder software	2.E.7.d	Graphical user interface development software	N	N
